,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
885,8488609,To stay MasterRoom in beach condo.,29977398,David,East Region,Pasir Ris,1.37932,103.9603,Private room,42,180,0,,,3,364
886,8492009,Affordable King-size Bedroom!,40345484,Ine,Central Region,Newton,1.3166200000000001,103.83582,Private room,119,1,0,,,3,230
898,8571567,Singapore Multi-unit building,45112161,Jian Hao,East Region,Tampines,1.3532899999999999,103.93195,Shared room,119,1,0,,,2,89
899,8577081,Cosy Room in Novena (Central Area),27680847,Ser,Central Region,Novena,1.32218,103.84192,Private room,99,120,0,,,1,365
919,8727077,Bed and Cereals.,45798265,Kuldip,North-East Region,Ang Mo Kio,1.39021,103.85452,Private room,278,1,0,,,1,365
950,8957363,Blk 210 Bukit Batok St 21,46815723,Jj,West Region,Bukit Batok,1.34589,103.74904000000001,Entire home/apt,81,180,0,,,1,180
956,9019945,1910s Conservation Shophouse @Bugis,45661681,Betty,Central Region,Downtown Core,1.2988899999999999,103.85566999999999,Entire home/apt,250,100,0,,,8,365
982,9204908,1910s 2bedroom Shophouse-loft@Bugis,45661681,Betty,Central Region,Downtown Core,1.29811,103.85691,Entire home/apt,250,100,0,,,8,365
983,9207480,Student homestay with teacher,47888110,Derrick,Central Region,Toa Payoh,1.33284,103.87767,Shared room,56,30,0,,,2,365
986,9239753,Fully Furnished Spacious 3 Bedroom in farrer park,32184450,Apollo,Central Region,Kallang,1.31669,103.85382,Entire home/apt,300,14,0,,,67,365
1002,9336010,Funky 2 Storey in Central Singapore,1619840,Kate,Central Region,Orchard,1.30406,103.83364,Entire home/apt,794,5,0,,,1,364
1016,9397355,Highrise heritage Doublebed Rm891,8948251,Joey,Central Region,Outram,1.2847,103.84404,Private room,49,90,0,,,83,365
1017,9398808,Tiong Bahru Experience,45955773,Jye,Central Region,Bukit Merah,1.28455,103.83312,Entire home/apt,300,30,0,,,1,365
1020,9416569,Stunning Marina Bay 1 Bdrm Premium,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.27999,103.85313000000001,Private room,131,60,0,,,41,364
1022,9417635,Decent Room near Amenities,39525377,Rathnah,North Region,Woodlands,1.43411,103.77708,Private room,19,180,0,,,1,240
1032,9480279,Happening Geylang,49139350,Aaron,Central Region,Geylang,1.30999,103.88591,Entire home/apt,178,190,0,,,1,365
1047,9565658,Big room - Chinatown,23611487,Ty,Central Region,Outram,1.28582,103.84274,Private room,200,1,0,,,1,365
1078,9739084,Private Family Room for 6,50158481,Dream Lodge,Central Region,Kallang,1.31206,103.86046,Private room,210,1,0,,,8,358
1079,9739843,Private room 1 min walk to MRT,2074218,Guo Feng,Central Region,Kallang,1.30813,103.86388000000001,Private room,49,90,0,,,1,180
1102,9875315,LUXURIOUSLY SPACIOUS MASTERSUITE,35065351,Perfect,North Region,Sembawang,1.44005,103.82372,Private room,90,7,0,,,2,365
1129,9981003,"3BR - Near MRT, Minutes to Town",51287592,Crystal,North-East Region,Serangoon,1.3441100000000001,103.88114,Entire home/apt,250,90,0,,,1,363
1156,10118046,Home away from home,22629601,Kong Keong Lawrence,North-East Region,Ang Mo Kio,1.37295,103.83352,Private room,212,2,0,,,1,177
1162,10210475,"Amazing Masterbed Room, mins to MRT",28809566,Property,North Region,Sembawang,1.44123,103.82224000000001,Private room,110,5,0,,,7,365
1166,10215048,♥Cosy 1BR at Kim Keat (BL1BR),31464513,Darcy,Central Region,Novena,1.32554,103.84868,Entire home/apt,131,14,0,,,114,332
1172,10260541,Great location master room,37039661,Kevin,Central Region,Geylang,1.31311,103.88710999999999,Private room,56,180,0,,,1,365
1186,10377488,Private Studio The Sail@Marina Bay,32798595,Expats Housing Provider @ Raffles P,Central Region,Downtown Core,1.28186,103.8522,Entire home/apt,131,45,0,,,41,365
1195,10467184,Tranquil Living in The East,53937734,Jenny,East Region,Pasir Ris,1.37342,103.94068,Entire home/apt,169,365,0,,,1,364
1219,10669564,"Birthday, Parties, Corporate events",48396836,Shawn,Central Region,Bukit Timah,1.3320299999999998,103.79507,Entire home/apt,387,1,0,,,1,180
1231,10813595,Landscape class high-rise apartment,19611001,睿澜,Central Region,Bukit Timah,1.33909,103.77816999999999,Private room,69,180,0,,,1,180
1240,10923613,RetroPenthouse-1 bedroomKitchenLivingPool/SeaViews,52590953,Ann,East Region,Bedok,1.30797,103.92404,Entire home/apt,110,31,0,,,4,365
1242,10936529,"出租夫妻房长期居住每月新币700,有意者请拨新加坡号码 (Phone number hidden by Airbnb)",56702256,玉铃,North Region,Woodlands,1.44347,103.80081,Private room,31,365,0,,,1,365
1244,11007108,Studio Loft / for Long Stay,2351214,Juliana,East Region,Bedok,1.31049,103.91391999999999,Entire home/apt,110,365,0,,,1,358
1253,11126190,FAMILY-FRIENDLY EN-SUITE,57815182,Home,North Region,Sembawang,1.44495,103.82279,Private room,76,7,0,,,2,365
1254,11127735,"TWIN SUITE-ROOMS, FOR  UP TO  6  FAMILY  MEMBERS",57815182,Home,North Region,Sembawang,1.4443700000000002,103.82355,Shared room,54,7,0,,,2,365
1255,11128602,Luxury 3 bedroom condo. 1389sqf,57832356,Hwa Chiang,Central Region,Bishan,1.3658299999999999,103.82907,Entire home/apt,200,180,0,,,1,365
1261,11220676,LUXURY CONDO IN SINGAPORE,58166398,Byulee,Central Region,River Valley,1.30122,103.83364,Entire home/apt,797,1,0,,,1,364
1281,11325779,Newly decorated room for travellers,59156085,Wl,West Region,Bukit Batok,1.3466,103.75154,Private room,200,1,0,,,1,365
1296,11411094,nice,47477840,Emil,West Region,Choa Chu Kang,1.4028100000000001,103.75058,Private room,100,1,0,,,1,365
1299,11442336,文庆地铁站全新公寓出租,60142055,Sally,Central Region,Kallang,1.32089,103.86437,Entire home/apt,100,180,0,,,1,365
1300,11443170,Holiday relax,60149986,Steve,East Region,Pasir Ris,1.37883,103.95915,Entire home/apt,208,1,0,,,1,365
1329,11566925,Cozy Scandic Home Deco,59578522,Helena,Central Region,Geylang,1.30955,103.90031,Private room,78,1,0,,,1,365
1330,11567069,Affordable Common Room in City.,9515739,Zakaria,Central Region,Newton,1.30534,103.8359,Private room,900,9,0,,,1,365
1338,11615301,RNCY ASIA | Royal Couple #02-01,61500222,Royal,East Region,Bedok,1.3119999999999998,103.91178000000001,Private room,219,1,0,,,1,365
1339,11616119,RNCY Asia | Spatiaux Deluxe #03-02,61506051,Spatiaux,East Region,Bedok,1.3103,103.91325,Private room,219,1,0,,,1,365
1340,11616187,RNCY ASIA | Sustain Deluxe #03-01,61506737,Sustain,East Region,Bedok,1.31161,103.91139,Private room,219,1,0,,,1,365
1341,11617126,"Large ""Studio"" @Novena no kitchen",45661681,Betty,Central Region,Novena,1.32307,103.84111,Private room,87,30,0,,,8,364
1342,11626258,Brand new 2 bedroom;heart of Katong,15401676,Amber,Central Region,Marine Parade,1.3063,103.90294,Entire home/apt,119,180,0,,,1,362
1352,11679272,Modern studio room max 3 pax EZS-2,24496358,Katherine,East Region,Bedok,1.32513,103.91463,Private room,181,3,0,,,24,333
1366,11744531,3mins to ChinatownMrt/ 6-Bed private room,61762641,BedsandDreams Inn@ Chinatown,Central Region,Outram,1.28427,103.84271,Private room,228,1,0,,,6,304
1387,11898518,Luxurious One bedroom Suite,63463126,Angel,Central Region,Downtown Core,1.28052,103.85205,Entire home/apt,237,100,0,,,1,365
1417,12178884,Clean & spacious room for rental,61187361,Prasath Kumar,West Region,Bukit Panjang,1.3839700000000001,103.77035,Private room,69,1,0,,,1,362
1427,12253611,Condo Studio beside Buangkok MRT,65974072,Mrs,North-East Region,Sengkang,1.38246,103.89146,Entire home/apt,90,365,0,,,1,365
1453,12367758,Queen Capsule for 2 (Free Breakfast),65679130,Seven,Central Region,Kallang,1.31115,103.85793000000001,Shared room,58,1,0,,,18,357
1454,12367917,Queen Capsule for 2 (Free Breakfast),65679130,Seven,Central Region,Kallang,1.3091899999999999,103.85874,Shared room,58,1,0,,,18,357
1455,12368074,Queen Capsule for 2 (Free Breakfast),65679130,Seven,Central Region,Kallang,1.3094,103.85710999999999,Shared room,58,1,0,,,18,358
1466,12509715,Stay in a dormitory with 8 beds.,42072421,Andrew,Central Region,Outram,1.28757,103.84101,Shared room,25,1,0,,,1,365
1472,12556334,En-suites room in House near MRT (2) 在别墅里带独立卫生间的主卧,68059127,Wei,East Region,Bedok,1.3176,103.91365,Private room,99,3,0,,,21,239
1490,12696326,"Private Master bedroom, Orchard SMRT station",69005937,Keith,Central Region,Newton,1.31536,103.83286,Private room,32,90,0,,,11,180
1491,12698038,Private Common Room near Orchard Rd.,69005937,Keith,Central Region,Newton,1.31477,103.83259,Private room,60,90,0,,,11,180
1505,12800290,全新HDB,69739432,Lee,Central Region,Bishan,1.34551,103.85191999999999,Private room,49,90,0,,,1,365
1508,12815967,阿裕尼公寓普通房急需女搭房一名联系人:郑小姐 电话:,69904125,雅琪,Central Region,Geylang,1.31528,103.88443000000001,Shared room,450,1,0,,,1,365
1534,12975736,2Green big windows room @ heritage apartment,8948251,Joey,Central Region,Kallang,1.31321,103.85771,Private room,44,18,0,,,83,342
1544,13045664,Cozy Apartment @ Central Singapore -Unit 1,48641356,Keith,Central Region,Tanglin,1.31923,103.82741,Entire home/apt,100,150,0,,,5,365
1562,13175926,Condo at Kovan,13146445,Tan,North-East Region,Hougang,1.3587799999999999,103.88168,Entire home/apt,119,360,0,,,1,365
1570,13225622,helllooooo,74213566,Eystine,Central Region,Downtown Core,1.2966799999999998,103.85488000000001,Entire home/apt,111,1,0,,,1,83
1586,13273148,Master Bedroom in Bishan,74790755,Amy,Central Region,Bishan,1.34679,103.84961,Private room,35,183,0,,,1,365
1624,13540021,Boonlay MRT 1,51503267,Gloria,West Region,Jurong West,1.3392899999999999,103.70251,Private room,44,180,0,,,1,364
1638,13615155,Common room for rent,37557048,Uma,North Region,Yishun,1.40572,103.83409,Private room,500,17,0,,,1,365
1643,13659860,Beautiful Modern 1 Bedroom Loft Apartment @CBD,10802615,Fendi,Central Region,Outram,1.2801200000000001,103.84793,Entire home/apt,181,90,0,,,3,358
1668,13875517,Bright Spacious Condominium near Airport & Expo,65549406,Jay,East Region,Tampines,1.34018,103.95014,Entire home/apt,100,30,0,,,2,208
1676,13930152,"Ensuite room/condo near to zoo, river/night safari",82768938,Anthony,West Region,Bukit Batok,1.35205,103.75721,Private room,68,188,0,,,1,83
1688,13967760,Studio Room 2 with pool in Private house泳池别墅2号一室一厅,68059127,Wei,East Region,Bedok,1.32342,103.9161,Private room,178,3,0,,,21,333
1712,14142246,Room with Private Bathroom - River Valley,4671947,Mark,Central Region,Tanglin,1.29617,103.82621999999999,Private room,60,5,0,,,1,361
1714,14157765,A Place Outside the Hectic City Life of Singapore,27888612,Immanuel,West Region,Choa Chu Kang,1.38351,103.74021,Private room,25,183,0,,,1,365
1715,14158971,Modern en-suites room EZS-1 with pool,24496358,Katherine,East Region,Bedok,1.32417,103.91461,Private room,131,7,0,,,24,342
1723,14196212,Central Business District (Altez),10802615,Fendi,Central Region,Downtown Core,1.27423,103.84398,Entire home/apt,385,90,0,,,3,358
1728,14213091,Penthouse with private swimming pool in the CBD,10802615,Fendi,Central Region,Downtown Core,1.2752299999999999,103.84384,Entire home/apt,681,90,0,,,3,358
